id,scholarship_id,discipline
805,1085,Multidisciplinary
806,1087,Multidisciplinary
807,1089,Multidisciplinary
808,1091,Multidisciplinary
809,1092,Multidisciplinary
810,1093,Multidisciplinary
811,1094,Multidisciplinary
812,1095,Multidisciplinary
813,1096,Multidisciplinary
814,1097,Multidisciplinary
815,1098,Multidisciplinary
816,1099,Multidisciplinary
817,1100,Multidisciplinary
818,1101,Multidisciplinary
819,1102,Multidisciplinary
820,1103,Multidisciplinary
821,1104,Multidisciplinary
822,1106,Multidisciplinary
823,1107,Multidisciplinary
824,1109,Multidisciplinary
825,1112,Multidisciplinary
826,1113,Multidisciplinary
827,1115,Multidisciplinary
828,1116,Multidisciplinary
829,1117,Multidisciplinary
830,1119,Multidisciplinary
831,1120,Multidisciplinary
832,1121,Multidisciplinary
833,1122,Multidisciplinary
834,1124,Multidisciplinary
835,1125,Multidisciplinary
836,1126,Multidisciplinary
837,1127,Multidisciplinary
838,1128,Multidisciplinary
839,1129,Multidisciplinary
840,1130,Multidisciplinary
841,1131,Multidisciplinary
842,1133,Multidisciplinary
843,1136,Multidisciplinary
844,1137,Multidisciplinary
845,1138,Multidisciplinary
846,1139,Multidisciplinary
847,1141,Multidisciplinary
848,1142,Multidisciplinary
849,1143,Multidisciplinary
850,1145,Multidisciplinary
851,1146,Multidisciplinary
852,1147,Multidisciplinary
853,1148,Multidisciplinary
854,1149,Multidisciplinary
855,1150,Multidisciplinary
856,1152,Multidisciplinary
857,1153,Multidisciplinary
858,1154,Multidisciplinary
859,1155,Multidisciplinary
860,1156,Multidisciplinary
861,1157,Multidisciplinary
862,1158,Multidisciplinary
863,1159,Multidisciplinary
864,1160,Multidisciplinary
865,1161,Multidisciplinary
866,1164,Multidisciplinary
867,1166,Multidisciplinary
868,1167,Multidisciplinary
869,1168,Multidisciplinary
870,1170,Multidisciplinary
871,1171,Multidisciplinary
872,1172,Multidisciplinary
873,1173,Multidisciplinary
874,1174,Multidisciplinary
875,1175,Multidisciplinary
876,1178,Multidisciplinary
877,1180,Multidisciplinary
878,1182,Multidisciplinary
879,1184,Multidisciplinary
880,1185,Multidisciplinary
881,30,Journalism and Media
882,135,Journalism and Media
883,176,Journalism and Media
884,304,Journalism and Media
885,491,Journalism and Media
886,544,Journalism and Media
887,597,Journalism and Media
888,617,Journalism and Media
889,708,Journalism and Media
890,893,Journalism and Media
891,46,Natural Sciences and Mathematics
892,59,Natural Sciences and Mathematics
893,62,Natural Sciences and Mathematics
894,91,Natural Sciences and Mathematics
895,100,Natural Sciences and Mathematics
896,103,Natural Sciences and Mathematics
897,129,Natural Sciences and Mathematics
898,136,Natural Sciences and Mathematics
899,145,Natural Sciences and Mathematics
900,148,Natural Sciences and Mathematics
901,153,Natural Sciences and Mathematics
902,155,Natural Sciences and Mathematics
903,195,Natural Sciences and Mathematics
904,242,Natural Sciences and Mathematics
905,252,Natural Sciences and Mathematics
906,276,Natural Sciences and Mathematics
907,287,Natural Sciences and Mathematics
908,294,Natural Sciences and Mathematics
909,305,Natural Sciences and Mathematics
910,324,Natural Sciences and Mathematics
911,331,Natural Sciences and Mathematics
912,337,Natural Sciences and Mathematics
913,340,Natural Sciences and Mathematics
914,376,Natural Sciences and Mathematics
915,431,Natural Sciences and Mathematics
916,432,Natural Sciences and Mathematics
917,445,Natural Sciences and Mathematics
918,469,Natural Sciences and Mathematics
919,486,Natural Sciences and Mathematics
920,507,Natural Sciences and Mathematics
921,550,Natural Sciences and Mathematics
922,553,Natural Sciences and Mathematics
923,616,Natural Sciences and Mathematics
924,617,Natural Sciences and Mathematics
925,620,Natural Sciences and Mathematics
926,627,Natural Sciences and Mathematics
927,642,Natural Sciences and Mathematics
928,652,Natural Sciences and Mathematics
929,665,Natural Sciences and Mathematics
930,670,Natural Sciences and Mathematics
931,680,Natural Sciences and Mathematics
932,682,Natural Sciences and Mathematics
933,703,Natural Sciences and Mathematics
934,705,Natural Sciences and Mathematics
935,715,Natural Sciences and Mathematics
936,720,Natural Sciences and Mathematics
937,721,Natural Sciences and Mathematics
938,736,Natural Sciences and Mathematics
939,749,Natural Sciences and Mathematics
940,751,Natural Sciences and Mathematics
941,758,Natural Sciences and Mathematics
942,764,Natural Sciences and Mathematics
943,767,Natural Sciences and Mathematics
944,835,Natural Sciences and Mathematics
945,847,Natural Sciences and Mathematics
946,848,Natural Sciences and Mathematics
947,868,Natural Sciences and Mathematics
948,877,Natural Sciences and Mathematics
949,887,Natural Sciences and Mathematics
950,888,Natural Sciences and Mathematics
951,890,Natural Sciences and Mathematics
952,898,Natural Sciences and Mathematics
953,908,Natural Sciences and Mathematics
954,945,Natural Sciences and Mathematics
955,948,Natural Sciences and Mathematics
956,954,Natural Sciences and Mathematics
957,955,Natural Sciences and Mathematics
958,1046,Natural Sciences and Mathematics
959,1061,Natural Sciences and Mathematics
960,1062,Natural Sciences and Mathematics
961,1063,Natural Sciences and Mathematics
962,1110,Natural Sciences and Mathematics
963,1111,Natural Sciences and Mathematics
964,1123,Natural Sciences and Mathematics
965,1134,Natural Sciences and Mathematics
966,1135,Natural Sciences and Mathematics
967,1179,Natural Sciences and Mathematics
968,61,Medicine and Health
969,62,Medicine and Health
970,72,Medicine and Health
971,91,Medicine and Health
972,96,Medicine and Health
973,98,Medicine and Health
974,167,Medicine and Health
975,178,Medicine and Health
976,179,Medicine and Health
977,197,Medicine and Health
978,224,Medicine and Health
979,232,Medicine and Health
980,276,Medicine and Health
981,280,Medicine and Health
982,287,Medicine and Health
983,326,Medicine and Health
984,372,Medicine and Health
985,376,Medicine and Health
986,384,Medicine and Health
987,400,Medicine and Health
988,418,Medicine and Health
989,430,Medicine and Health
990,431,Medicine and Health
991,451,Medicine and Health
992,464,Medicine and Health
993,489,Medicine and Health
994,510,Medicine and Health
995,523,Medicine and Health
996,542,Medicine and Health
997,551,Medicine and Health
998,553,Medicine and Health
999,605,Medicine and Health
1000,617,Medicine and Health
1001,620,Medicine and Health
1002,627,Medicine and Health
1003,642,Medicine and Health
1004,658,Medicine and Health
1005,680,Medicine and Health
1006,689,Medicine and Health
1007,712,Medicine and Health
1008,730,Medicine and Health
1009,731,Medicine and Health
1010,749,Medicine and Health
1011,753,Medicine and Health
1012,756,Medicine and Health
1013,792,Medicine and Health
1014,830,Medicine and Health
1015,868,Medicine and Health
1016,871,Medicine and Health
1017,888,Medicine and Health
1018,898,Medicine and Health
1019,907,Medicine and Health
1020,908,Medicine and Health
1021,917,Medicine and Health
1022,930,Medicine and Health
1023,937,Medicine and Health
1024,953,Medicine and Health
1025,955,Medicine and Health
1026,956,Medicine and Health
1027,1021,Medicine and Health
1028,1024,Medicine and Health
1029,1038,Medicine and Health
1030,1046,Medicine and Health
1031,1134,Medicine and Health
1032,9,Computer science and IT
1033,24,Computer science and IT
1034,26,Computer science and IT
1035,30,Computer science and IT
1036,91,Computer science and IT
1037,103,Computer science and IT
1038,121,Computer science and IT
1039,135,Computer science and IT
1040,136,Computer science and IT
1041,149,Computer science and IT
1042,152,Computer science and IT
1043,153,Computer science and IT
1044,155,Computer science and IT
1045,168,Computer science and IT
1046,222,Computer science and IT
1047,233,Computer science and IT
1048,307,Computer science and IT
1049,331,Computer science and IT
1050,358,Computer science and IT
1051,376,Computer science and IT
1052,389,Computer science and IT
1053,435,Computer science and IT
1054,440,Computer science and IT
1055,448,Computer science and IT
1056,449,Computer science and IT
1057,456,Computer science and IT
1058,469,Computer science and IT
1059,529,Computer science and IT
1060,561,Computer science and IT
1061,562,Computer science and IT
1062,575,Computer science and IT
1063,583,Computer science and IT
1064,594,Computer science and IT
1065,616,Computer science and IT
